year,quarter,name,sales
2019,3,녹사평대로46길,621443435
2019,4,녹사평대로46길,272398482
2019,1,논현로106길,87873615
2019,2,논현로106길,73351207
2019,3,논현로106길,95204790
2019,4,논현로106길,99872560
2019,1,논현로10길,357194502
2019,2,논현로10길,365182529
2019,3,논현로10길,383180707
2019,4,논현로10길,351006986
2019,1,논현로115길,188417919
2019,2,논현로115길,202138769
2019,3,논현로115길,195968568
2019,4,논현로115길,178246360
2019,1,논현로123길,33807474
2019,2,논현로123길,51364592
2019,3,논현로123길,41745448
2019,1,논현로139길,243810240
2019,2,논현로139길,252861484
2019,3,논현로139길,224588308
2019,4,논현로139길,208795473
2019,1,논현로159길,849701528
2019,2,논현로159길,202365593
2019,3,논현로159길,769258430
2019,4,논현로159길,306719891
2019,1,논현로1길,176203044
2019,2,논현로1길,247815630
2019,3,논현로1길,236599430
2019,4,논현로1길,268082308
2019,1,논현로26길,2049822031
2019,2,논현로26길,2299486327
2019,3,논현로26길,2570673968
2019,4,논현로26길,2455053068
2019,1,논현로27길,256829012
2019,2,논현로27길,328256710
2019,3,논현로27길,293277446
2019,4,논현로27길,314170739
2019,1,논현로28길,126511697
2019,2,논현로28길,128419870
2019,3,논현로28길,154452975
2019,4,논현로28길,191763221
2019,1,논현로63길,29057948
2019,2,논현로63길,29083151
2019,3,논현로63길,20381844
2019,4,논현로63길,34820100
2019,1,논현로8길,51635127
2019,2,논현로8길,59175265
2019,3,논현로8길,67251711
2019,4,논현로8길,45427190
2019,1,능동로13길,119242868
2019,2,능동로13길,136430114
2019,3,능동로13길,108869631
2019,4,능동로13길,116195202
2019,1,능동로19길,216567512
2019,2,능동로19길,233460772
2019,3,능동로19길,213168358
2019,4,능동로19길,249815390
2019,1,능동로34길,42461090
2019,2,능동로34길,40365070
2019,3,능동로34길,44138933
2019,4,능동로34길,50332086
2019,1,능동로3길,8954830
2019,2,능동로3길,8305688
2019,3,능동로3길,10868967
2019,4,능동로3길,5542188
2019,1,능동로4길,22951144
2019,2,능동로4길,30564978
2019,3,능동로4길,24268475
2019,4,능동로4길,47107148
